Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
1,1,0,13196,130,1.0,1
0,0,1,8572,509,0.0,1
0,0,1,8124,254,1.0,1
1,0,1,14242,220,1.0,0
0,1,1,1695,150,1.0,0
1,0,0,6194,581,1.0,0
0,0,0,11024,194,1.0,1
1,1,1,6151,275,0.0,1
1,1,1,8491,110,1.0,0
0,1,0,11209,491,1.0,1
0,1,0,14226,111,1.0,1
1,0,1,4197,454,1.0,1
0,0,1,14146,144,1.0,1
0,0,1,12799,389,1.0,1
0,0,1,2557,304,1.0,1
1,1,0,6707,318,1.0,0
1,0,0,12397,427,1.0,1
1,0,0,11755,530,1.0,1
1,0,1,4292,355,1.0,1
1,0,0,1920,347,1.0,1
1,1,0,14340,120,1.0,0
1,0,1,4314,140,1.0,0
1,0,1,4340,558,1.0,1
1,0,1,14937,377,0.0,1
0,1,1,2531,376,1.0,0
1,1,1,9139,511,1.0,1
0,0,1,2991,294,1.0,1
0,0,0,6475,170,1.0,1
0,0,0,11577,369,1.0,0
1,1,0,6447,434,1.0,0
1,0,0,2009,172,1.0,1
1,0,0,3359,407,1.0,1
1,0,0,6561,526,1.0,1
0,1,1,3358,298,1.0,1
1,0,1,10605,175,1.0,1
1,0,1,7107,374,1.0,1
1,1,0,3565,382,1.0,0
1,1,0,4466,245,1.0,1
1,0,1,14846,112,1.0,0
0,1,1,8273,462,0.0,1
1,0,1,14581,228,1.0,1
0,1,1,13529,329,1.0,0
1,1,1,9392,184,1.0,1
0,0,0,11288,261,1.0,1
1,0,0,5942,496,1.0,1
1,0,0,10747,464,1.0,0
0,1,1,14695,470,1.0,1
0,0,0,10715,588,1.0,1
0,0,1,4704,150,1.0,0
1,0,0,2075,314,1.0,1
0,0,1,1698,100,0.0,1
1,0,1,8923,570,1.0,1
1,1,0,2865,476,0.0,1
0,0,0,9334,511,0.0,1
0,0,0,3498,222,0.0,1
1,1,0,6850,387,1.0,1
1,0,0,7944,299,1.0,1
0,0,1,2516,282,1.0,1
0,0,0,5118,509,1.0,1
0,0,0,1525,497,1.0,0
1,0,1,11250,315,1.0,1
1,1,0,5224,339,1.0,1
1,1,1,4958,448,1.0,0
1,1,0,13048,167,1.0,0
1,0,0,8093,418,1.0,1
1,1,1,12059,181,1.0,0
0,0,0,10162,241,1.0,1
1,0,0,12159,510,0.0,0
1,0,0,8780,140,1.0,0
1,1,0,9569,338,0.0,1
0,1,1,6246,102,1.0,0
1,1,1,9089,193,0.0,0
1,0,0,10577,158,1.0,1
0,1,0,14717,327,0.0,0
1,0,1,8478,506,1.0,1
1,1,1,10567,117,1.0,0
1,1,0,10633,593,1.0,0
1,0,1,4541,338,1.0,1
1,0,1,9265,459,1.0,1
0,1,1,6904,173,1.0,0
0,1,1,2071,475,1.0,1
0,1,0,13841,431,0.0,1
1,0,1,10296,268,1.0,1
1,0,0,14112,363,1.0,1
1,1,0,13221,259,1.0,0
0,1,1,6480,436,1.0,1
1,0,0,14052,268,1.0,0
1,1,0,10073,528,0.0,0
0,0,1,2736,305,1.0,1
1,0,1,3880,456,1.0,1
0,0,1,8677,108,1.0,1
0,0,0,13471,445,1.0,1
0,0,0,11797,403,1.0,1
1,0,0,3017,214,1.0,0
1,1,0,3033,251,1.0,1
1,0,1,7387,186,0.0,0
1,0,0,12986,194,1.0,1
1,1,1,13132,330,1.0,1
1,0,1,9359,527,1.0,1
1,1,1,4989,285,1.0,1
0,0,1,13637,549,1.0,0
1,1,0,6142,213,1.0,0
0,1,1,10562,373,1.0,0
1,0,0,3650,563,1.0,0
1,0,1,12924,128,0.0,1
1,0,1,6819,302,1.0,1
0,0,1,12923,101,0.0,1
0,1,0,5266,177,1.0,1
0,1,1,6460,423,1.0,1
0,1,1,12899,330,1.0,1
1,0,1,7561,197,1.0,0
0,1,1,14185,216,1.0,1
1,0,0,7357,209,1.0,1
1,0,0,5987,266,1.0,1
0,1,1,13518,556,1.0,1
0,0,1,9250,587,1.0,1
0,1,0,11304,396,1.0,1
0,0,0,2577,554,0.0,0
0,1,0,2800,470,1.0,1
0,0,1,11850,436,0.0,0
0,1,0,11963,477,1.0,1
0,1,1,8149,186,1.0,1
1,0,0,8681,592,1.0,0
0,0,0,9638,558,1.0,1
0,1,1,4029,121,0.0,1
1,0,0,4760,309,1.0,1
0,0,1,1863,404,1.0,0
1,0,0,2345,511,1.0,1
1,1,1,4532,371,1.0,1
0,1,0,2827,589,0.0,1
1,0,0,12854,423,0.0,0
1,0,1,10083,545,1.0,1
1,1,1,4755,519,1.0,1
1,0,1,6636,377,0.0,1
0,1,1,8608,238,1.0,1
1,0,0,11751,440,0.0,0
0,0,0,4737,476,1.0,1
1,0,0,11738,331,1.0,0
1,1,0,13933,332,1.0,1
1,1,0,10997,179,1.0,1
1,1,0,7168,525,1.0,1
0,1,1,7812,154,1.0,0
0,0,0,12586,556,1.0,1
1,0,0,11724,390,1.0,1
1,1,1,10456,540,1.0,1
0,0,0,6965,133,1.0,1
1,0,0,1998,428,1.0,0
1,1,0,13060,432,1.0,1
1,0,1,7562,553,0.0,1
0,0,1,14953,487,1.0,1
0,1,0,4444,351,1.0,0
0,0,1,9452,529,1.0,1
1,0,0,7356,575,1.0,1
1,0,0,13496,224,0.0,0
0,1,0,13905,110,1.0,1
0,1,1,14152,581,1.0,0
0,0,0,9338,416,1.0,1
0,0,0,7577,221,1.0,1
1,0,0,1635,134,1.0,1
0,1,0,10792,168,1.0,0
1,1,0,11563,412,1.0,0
0,1,1,5533,586,1.0,1
1,0,0,8200,238,1.0,1
0,0,1,5613,111,1.0,1
0,0,0,13704,224,1.0,1
0,0,1,8046,398,1.0,1
0,0,0,9896,246,1.0,0
1,1,0,6094,176,1.0,0
0,0,1,12063,167,0.0,0
1,0,1,14382,305,1.0,1
1,0,0,2061,335,1.0,0
1,1,1,6900,158,1.0,0
1,0,1,8833,357,0.0,1
0,1,0,4814,353,1.0,0
1,1,0,5460,491,1.0,1
1,1,0,12218,505,0.0,1
1,1,0,3711,342,1.0,1
0,1,0,3871,560,1.0,1
0,0,1,8474,376,1.0,1
0,0,0,14427,568,0.0,0
0,1,1,4181,319,1.0,1
1,1,0,4306,324,0.0,1
1,1,0,13461,512,1.0,1
0,0,1,3755,200,0.0,1
1,0,0,14102,441,1.0,1
1,1,1,10592,221,1.0,1
1,0,1,7882,317,1.0,0
0,0,1,11442,174,1.0,1
0,1,0,6399,430,1.0,1
1,1,0,12987,336,1.0,0
0,0,0,4659,581,1.0,1
0,0,0,7156,438,1.0,1
0,0,0,2952,339,0.0,0
0,1,0,10935,264,1.0,0
0,1,1,3822,433,1.0,1
1,1,0,11362,256,1.0,1
0,0,0,11719,310,0.0,1
1,0,0,8597,520,0.0,1
1,1,0,3268,376,0.0,1
0,0,1,7596,315,1.0,1
1,1,1,6685,317,0.0,0
1,0,1,13355,332,1.0,1
1,1,1,11994,475,1.0,0
0,0,1,2669,111,0.0,1
0,0,0,6210,531,1.0,1
1,1,1,12124,182,0.0,1
0,1,1,8090,530,1.0,0
0,1,0,1886,212,1.0,0
0,1,0,3930,577,1.0,1
0,1,1,13040,370,1.0,1
1,0,0,2905,294,1.0,1
1,1,0,1623,468,1.0,1
0,1,1,5497,240,0.0,1
0,1,0,7409,542,0.0,1
1,1,1,13144,556,1.0,1
1,1,1,5396,223,1.0,1
0,0,0,11316,240,1.0,1
1,1,1,9566,307,1.0,1
0,1,1,10873,214,1.0,1
0,1,0,2227,305,1.0,0
1,0,0,8539,555,1.0,1
1,0,0,13576,502,0.0,0
0,1,0,9215,540,1.0,1
0,1,1,5170,387,1.0,1
1,0,0,2641,454,1.0,0
0,0,0,12067,442,1.0,1
1,0,1,5531,248,1.0,1
0,1,1,10050,309,1.0,1
1,1,1,5242,211,1.0,0
1,0,1,4344,241,1.0,0
1,1,0,14230,563,1.0,0
0,0,0,3711,123,1.0,0
0,0,1,2472,148,0.0,1
1,0,1,1860,599,1.0,1
0,1,1,4132,387,1.0,0
1,0,1,4690,430,1.0,0
1,0,0,6448,464,1.0,1
0,1,1,3124,110,1.0,0
0,0,0,13620,287,1.0,1
1,1,1,3256,167,1.0,1
0,0,0,9318,544,1.0,1
0,1,0,6619,189,1.0,1
1,0,0,7526,209,0.0,0
1,0,0,9932,488,1.0,0
0,0,1,14453,263,1.0,1
1,0,0,14953,580,1.0,0
1,0,1,8475,547,1.0,1
0,1,0,2475,305,1.0,1
1,1,0,5818,131,1.0,1
1,0,1,7423,426,1.0,0
0,0,1,3813,173,1.0,1
0,0,0,10997,350,1.0,1
1,1,0,2287,549,1.0,1
1,1,1,3928,493,0.0,1
0,0,0,10247,454,1.0,1
0,1,1,11801,120,1.0,1
0,0,1,14634,395,0.0,1
0,0,1,8164,397,1.0,1
1,0,0,14882,427,1.0,1
0,1,0,12341,401,0.0,0
0,0,1,11251,437,0.0,1
1,0,1,13927,172,1.0,1
0,0,1,8983,473,1.0,0
1,1,1,2863,140,1.0,1
0,1,0,5459,193,1.0,0
0,1,1,10281,231,1.0,1
0,0,0,3249,198,0.0,1
1,1,1,8171,497,1.0,0
1,0,0,2040,497,1.0,1
0,1,0,9134,152,1.0,1
1,0,0,12114,595,1.0,1
1,1,0,9982,328,1.0,1
1,0,0,11782,227,0.0,0
1,1,1,5435,311,1.0,1
1,1,1,5458,384,1.0,0
1,1,0,5359,378,1.0,1
0,0,1,9550,594,0.0,1
0,1,1,10947,440,0.0,1
1,1,1,6831,258,1.0,0
0,1,1,9699,451,1.0,1
0,1,1,3157,332,0.0,0
0,0,1,14270,170,1.0,1
0,1,1,7685,304,1.0,0
1,0,0,5928,288,0.0,1
0,0,1,10948,250,0.0,1
0,0,1,8737,107,0.0,1
1,0,1,13642,431,1.0,0
1,1,0,2539,199,1.0,1
0,0,0,3616,115,0.0,1
0,0,1,10376,253,1.0,0
0,0,0,5518,256,1.0,1
0,0,0,14781,192,1.0,1
0,1,1,11489,361,1.0,1
0,1,0,9046,136,1.0,1
1,0,1,3324,260,0.0,1
0,0,0,5034,450,1.0,1
0,0,1,8170,273,1.0,1
1,1,0,9754,416,1.0,1
1,1,1,9952,524,0.0,1
1,1,1,5071,117,1.0,1
1,1,0,4692,585,1.0,1
0,1,1,6453,466,1.0,1
0,0,1,11180,450,1.0,1
0,1,0,10822,115,1.0,0
0,1,1,5775,459,1.0,0
0,0,1,1854,534,0.0,0
0,1,0,6529,520,1.0,1
1,1,1,4274,369,1.0,1
0,1,0,2088,458,1.0,1
1,0,1,2104,167,1.0,0
1,1,0,11920,129,1.0,0
0,0,0,9865,415,0.0,1
1,0,1,1853,408,1.0,1
0,1,0,12982,324,1.0,0
1,1,1,6934,263,1.0,1
0,1,1,1933,513,0.0,0
1,1,0,12644,419,1.0,1
0,0,1,9950,113,1.0,1
0,1,1,2367,378,1.0,1
0,0,0,12298,531,1.0,1
0,0,1,13337,255,1.0,1
0,0,1,10287,221,1.0,1
1,0,0,7264,362,1.0,1
1,0,1,1893,269,0.0,1
1,1,1,14123,109,0.0,0
0,0,0,11802,551,1.0,1
1,0,1,13556,271,0.0,1
0,1,1,13831,457,1.0,1
0,1,0,11892,112,0.0,1
1,0,1,13689,312,1.0,0
1,0,1,13545,260,1.0,1
0,1,0,14641,331,1.0,1
1,0,0,5254,575,1.0,1
0,1,1,5870,570,1.0,1
0,1,1,13121,259,1.0,1
0,0,0,6021,226,1.0,1
0,1,1,9199,147,1.0,1
0,0,1,6078,360,1.0,0
1,0,1,9905,160,1.0,0
1,0,0,3626,221,1.0,1
0,1,1,9830,189,1.0,0
0,0,1,14737,458,1.0,1
1,1,0,5693,354,1.0,1
1,0,0,5460,189,0.0,1
0,0,0,2163,102,1.0,1
1,1,1,4332,379,1.0,1
0,0,1,10765,216,0.0,0
1,0,0,6074,197,0.0,1
0,1,1,7871,261,1.0,1
1,1,1,13714,439,1.0,0
0,1,1,9124,474,0.0,1
1,0,1,7792,577,0.0,1
1,1,0,6677,397,1.0,1
0,1,0,9853,503,1.0,1
1,0,1,8506,396,1.0,1
0,1,0,11192,181,1.0,1
1,0,1,4678,457,0.0,1
0,0,1,7046,247,1.0,1
1,1,0,5990,105,1.0,1
0,0,0,6396,477,1.0,0
1,1,1,1685,284,0.0,1
0,1,1,6153,525,1.0,0
1,1,1,3480,351,1.0,0
0,1,1,6041,124,1.0,1
0,0,0,9308,140,1.0,0
0,0,0,13680,268,1.0,1
1,1,1,2329,102,1.0,0
0,1,1,5019,463,1.0,1
1,0,0,9508,270,1.0,1
0,1,1,13203,529,0.0,1
1,0,0,13020,156,1.0,1
0,1,1,13040,182,1.0,1
1,0,0,7409,429,1.0,1
1,0,1,12177,278,1.0,0
0,0,1,14303,232,1.0,1
1,1,1,14734,185,1.0,0
1,1,0,2725,556,1.0,1
0,1,0,7274,452,0.0,1
1,1,1,14543,370,1.0,0
1,1,1,4344,443,1.0,1
1,0,1,8847,193,0.0,1
0,0,1,4233,481,1.0,0
1,0,0,5920,455,1.0,1
0,0,0,5496,349,1.0,1
1,0,0,12362,394,1.0,0
1,0,1,14474,297,1.0,0
1,0,1,11190,178,1.0,0
0,1,0,3188,265,1.0,0
1,0,1,3947,138,1.0,1
1,1,0,2367,407,1.0,1
0,0,0,14004,313,0.0,0
1,0,0,8452,230,1.0,1
0,1,0,12700,256,1.0,1
0,0,1,13216,576,0.0,1
1,1,0,14788,481,1.0,0
0,0,1,7584,258,1.0,1
1,1,0,14719,592,1.0,1
0,0,0,11704,421,0.0,1
0,1,0,9931,326,1.0,0
1,1,0,6805,144,0.0,0
0,0,1,9739,300,1.0,1
0,0,1,5549,121,1.0,1
0,1,1,4957,438,1.0,0
0,0,1,12971,341,1.0,0
0,1,0,4728,328,1.0,1
1,0,1,2748,493,0.0,0
0,1,1,2667,337,1.0,0
1,0,0,4990,248,1.0,1
0,1,1,14662,372,0.0,1
1,0,1,3397,166,1.0,0
1,1,1,13228,106,0.0,1
0,1,1,3679,332,1.0,1
0,0,0,14412,456,1.0,0
0,0,0,7455,391,0.0,1
1,1,1,11662,355,0.0,1
0,1,0,14388,166,1.0,0
1,1,1,4220,349,1.0,1
1,1,1,12073,176,1.0,1
1,0,1,3443,588,1.0,1
0,1,0,12838,513,0.0,1
0,1,0,7412,186,1.0,0
1,1,0,13175,351,0.0,0
1,0,0,9186,554,1.0,1
0,1,0,5196,321,1.0,1
1,0,0,4325,512,0.0,0
0,0,1,11519,171,1.0,1
1,0,0,9914,301,0.0,1
0,0,1,3246,516,1.0,0
1,0,1,2029,158,1.0,1
0,0,0,7884,375,1.0,1
1,0,1,9825,320,0.0,0
0,1,1,13495,256,1.0,0
0,1,1,5986,280,1.0,1
1,0,0,1601,312,1.0,0
1,1,0,5223,228,1.0,1
0,1,1,4228,342,1.0,1
1,0,0,4045,517,1.0,0
0,1,1,4058,271,1.0,1
1,0,0,8346,579,1.0,1
0,1,1,12733,464,0.0,1
0,0,1,11692,369,0.0,1
0,0,0,2448,520,1.0,1
0,1,0,11260,262,1.0,0
0,1,0,6436,542,1.0,1
0,0,0,3553,123,1.0,1
1,0,0,12697,596,0.0,1
1,0,1,1693,292,1.0,1
1,1,1,10433,465,1.0,1
0,1,1,8804,489,0.0,1
0,1,0,13598,596,1.0,1
0,1,0,4459,551,1.0,1
0,0,1,14260,393,1.0,0
1,0,1,11955,228,1.0,1
1,0,1,9674,140,1.0,1
0,0,1,13112,130,1.0,1
1,1,0,4423,135,1.0,1
1,0,1,12946,556,0.0,1
0,0,0,4739,460,1.0,1
1,1,1,5365,352,1.0,1
0,1,0,9729,537,1.0,1
1,0,0,11390,464,1.0,1
0,1,0,6066,314,1.0,1
0,0,0,8095,386,1.0,1
0,1,1,13718,355,1.0,0
0,1,1,7109,512,1.0,0
1,0,1,4713,468,1.0,0
0,1,0,6608,568,0.0,1
0,0,1,3283,486,1.0,1
0,1,1,11658,285,0.0,1
1,1,1,9794,573,1.0,1
0,1,0,7330,160,1.0,1
1,1,0,7331,361,1.0,1
0,1,0,1541,375,0.0,1
1,0,1,12686,210,0.0,1
1,1,1,12910,416,0.0,1
0,0,1,7709,529,0.0,1
1,1,0,12682,240,1.0,1
0,0,1,13980,332,0.0,1
0,1,0,13061,122,0.0,1
0,0,0,2561,178,1.0,1
1,0,0,12241,593,0.0,1
1,1,0,11368,130,1.0,1
0,1,1,5189,103,0.0,1
0,1,1,9095,558,0.0,1
1,0,0,8307,217,0.0,0
0,0,1,5497,165,0.0,0
0,1,0,1825,499,1.0,0
0,1,1,8705,470,1.0,1
1,0,1,2620,386,1.0,1
1,0,0,1607,275,1.0,1
1,1,0,12370,222,1.0,0
0,0,0,7794,330,1.0,0
0,1,0,6693,142,1.0,0
0,1,1,8724,591,1.0,1
1,1,0,10026,103,0.0,1
0,0,1,3539,289,1.0,1
0,0,0,2303,403,1.0,0
0,0,1,11540,511,1.0,1
0,0,0,2266,349,1.0,1
1,1,1,5027,243,1.0,1
1,0,1,3806,586,1.0,0
0,1,1,12521,444,1.0,1
1,1,0,2988,481,1.0,0
1,1,0,5629,432,1.0,1
0,0,0,13258,552,1.0,1
0,1,0,3873,257,0.0,1
1,1,1,10528,164,1.0,0
0,0,1,4809,424,1.0,0
1,1,1,8334,369,0.0,1
0,0,0,7235,174,1.0,1
1,0,1,13304,517,1.0,1
0,0,1,6334,539,1.0,1
1,1,0,12483,128,1.0,1
1,0,0,8490,565,1.0,1
1,0,1,13904,434,0.0,1
0,0,0,5483,337,1.0,1
1,0,0,5268,252,1.0,0
1,1,0,3004,193,1.0,0
0,0,0,8293,336,1.0,1
0,1,1,3950,421,1.0,1
1,0,1,12736,214,1.0,0
1,1,1,3533,395,1.0,1
0,0,1,9502,318,1.0,1
0,1,1,11391,345,0.0,0
0,0,0,7519,596,1.0,0
0,1,1,11972,498,0.0,0
0,1,1,2807,131,0.0,1
1,1,0,12219,119,1.0,1
0,0,0,13530,152,1.0,1
1,1,0,2475,305,1.0,1
1,1,1,11748,318,0.0,1
1,1,0,14502,294,1.0,1
0,1,0,12118,404,0.0,1
1,0,0,13366,294,1.0,1
1,1,1,12120,560,0.0,0
0,1,0,6439,444,1.0,1
1,1,0,5233,181,0.0,1
1,0,1,10051,100,1.0,1
0,1,0,3723,266,1.0,1
1,1,1,1984,416,1.0,1
1,1,1,2928,282,1.0,0
1,1,0,3580,552,1.0,1
0,0,1,2195,485,1.0,1
0,1,0,7800,449,1.0,1
0,1,0,6160,372,1.0,1
1,0,0,1701,256,1.0,1
1,0,0,13549,472,1.0,0
0,0,1,10890,461,0.0,0
1,1,0,10959,487,1.0,0
1,0,0,12662,300,1.0,1
0,1,0,9765,291,1.0,0
0,0,1,9787,440,0.0,1
1,1,1,13960,398,1.0,0
1,0,0,4977,175,0.0,1
1,1,1,3702,239,1.0,0
0,0,1,8990,405,0.0,1
0,1,0,9949,295,1.0,0
0,1,0,13350,160,0.0,1
0,1,0,7817,575,1.0,1
1,1,0,5925,556,1.0,1
0,1,0,6850,459,1.0,1
0,1,1,4306,406,0.0,1
0,1,0,8663,579,1.0,1
0,1,0,13948,432,0.0,1
0,0,0,1685,453,1.0,1
1,1,0,9570,182,1.0,1
1,1,0,9834,433,1.0,1
0,0,1,13045,104,1.0,1
1,1,0,8550,318,0.0,1
0,0,1,10331,511,1.0,1
0,1,0,13441,353,1.0,0
1,0,0,3574,573,1.0,0
1,0,0,9154,493,1.0,0
0,1,1,13660,187,1.0,1
0,0,0,1701,308,0.0,0
0,1,0,12784,279,1.0,1
1,1,0,7210,307,0.0,1
0,1,0,4665,372,1.0,0
0,1,0,12771,164,1.0,0
0,0,0,14259,479,0.0,0
1,1,0,3602,120,1.0,1
0,0,1,10602,537,1.0,1
0,0,0,3071,466,1.0,1
1,1,0,6625,276,1.0,1
0,1,0,13140,462,0.0,0
0,1,1,8197,121,1.0,1
1,1,1,6669,424,0.0,1
0,0,0,3659,547,1.0,1
1,1,1,14017,135,1.0,1
1,0,0,12236,349,1.0,0
0,1,0,2829,248,0.0,1
0,1,1,5113,539,0.0,1
0,1,0,10152,172,1.0,1
0,1,1,10498,190,1.0,1
1,0,1,5199,275,1.0,0
0,0,1,7527,225,0.0,1
1,1,0,3773,303,0.0,1
0,0,0,9750,501,1.0,1
0,0,0,14887,345,1.0,0
0,1,0,12167,198,1.0,1
1,1,0,6323,370,1.0,0
0,0,0,10847,597,0.0,1
0,0,0,8575,143,1.0,0
0,0,1,1997,321,0.0,1
0,0,0,8459,528,1.0,1
1,1,0,14697,196,1.0,1
0,1,0,7710,135,1.0,1
1,0,1,14017,267,1.0,1
1,1,1,8626,534,1.0,1
1,0,1,14120,129,1.0,1
1,0,0,5476,381,0.0,1
1,1,1,7920,184,1.0,1
1,0,1,3107,456,0.0,0
0,0,0,10412,590,0.0,1
1,1,0,2774,220,1.0,0
1,1,0,13559,386,1.0,1
1,0,1,2190,347,1.0,1
0,0,0,5523,283,1.0,1
0,1,0,8747,352,1.0,1
1,0,0,13844,544,1.0,1
0,0,0,4937,372,1.0,0
1,1,0,3855,308,0.0,1
1,1,0,7081,453,1.0,0
0,1,1,2249,481,0.0,1
1,1,0,4551,123,1.0,1
0,1,1,14465,221,0.0,0
0,1,1,9263,324,1.0,0
1,0,0,5064,487,1.0,1
1,0,1,14347,492,1.0,1
0,1,1,7258,485,1.0,1
1,1,1,3204,518,1.0,1
1,0,0,13137,222,0.0,1
1,0,1,7574,393,1.0,0
0,0,1,14136,272,1.0,1
0,1,1,14878,242,1.0,1
1,1,1,3877,590,1.0,1
0,0,0,9519,525,1.0,1
0,1,0,6774,486,0.0,0
0,1,1,4731,514,1.0,1
0,1,0,7909,535,1.0,1
0,0,0,3715,268,1.0,1
1,0,1,7788,156,0.0,1
1,1,0,7829,141,1.0,1
1,1,0,2385,408,1.0,0
0,1,1,2364,218,1.0,1
0,1,1,8417,220,0.0,0
1,1,0,13186,411,1.0,1
0,0,0,4554,350,1.0,0
1,1,0,10477,442,1.0,1
1,1,0,10148,431,0.0,1
1,1,1,10036,555,1.0,1
0,0,1,2053,536,0.0,1
0,0,1,6616,440,1.0,1
1,1,1,9183,440,1.0,0
1,0,1,2287,515,0.0,1
1,0,0,11511,436,1.0,1
1,0,0,10396,281,1.0,1
0,0,1,14915,264,1.0,1
0,0,1,6407,571,1.0,0
1,0,1,8690,363,0.0,1
1,1,0,10644,309,0.0,1
0,0,0,2314,110,1.0,1
0,0,0,11240,281,0.0,1
1,1,1,9835,543,0.0,1
1,1,1,4277,350,0.0,1
1,1,1,5266,237,1.0,0
0,1,1,6458,317,1.0,0
0,0,1,5325,338,0.0,0
0,0,0,2716,553,1.0,0
1,0,1,11499,470,0.0,1
1,0,0,5970,436,1.0,1
0,1,0,14464,186,1.0,1
0,0,0,12431,397,1.0,1
1,0,0,8272,392,1.0,1
0,1,0,10981,191,0.0,1
0,0,1,9217,307,1.0,1
1,0,1,10247,303,1.0,1
0,0,1,2362,285,1.0,1
1,0,0,7717,184,1.0,1
1,1,0,12177,414,1.0,0
1,1,0,14668,251,0.0,0
1,1,0,7438,255,0.0,1
1,1,0,3855,392,1.0,0
1,1,0,10657,120,0.0,1
1,0,1,3895,260,0.0,1
0,0,0,10167,485,1.0,1
1,1,0,11030,584,1.0,1
1,1,1,2024,438,1.0,1
0,1,0,12263,255,1.0,1
0,0,1,2061,242,1.0,0
0,1,1,9667,356,1.0,0
1,0,1,9613,206,1.0,1
0,0,0,8916,383,0.0,1
1,0,1,13394,149,0.0,1
1,0,1,6164,134,1.0,0
1,1,0,2705,323,0.0,1
1,0,1,13725,255,0.0,1
0,0,0,13539,492,1.0,0
0,1,0,13893,507,1.0,1
1,0,1,3738,290,1.0,1
1,0,0,2660,487,1.0,0
1,0,0,14487,283,1.0,1
